Track Name,Artist,Album,Release Date,Cover Image URL,Genre,Price
American Pie,Don McLean,American Pie,1971,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb,classic rock,29.99
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,The Essential Kenny Loggins,2014-07-17,https://i.scdn.co/image/ab67616d0000b273d34d5242430b9b6297879286,classic rock,24.99
House Of The Rising Sun,The Animals,The Animals,1964-01-01,https://i.scdn.co/image/ab67616d0000b2733c534611bd3658006378a2d7,psychedelic rock,29.99
I Was Made For Lovin' You,KISS,Dynasty,1979-03-23,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,glam rock,29.99
Under Pressure - Remastered 2011,Queen,Hot Space (2011 Remaster),1982-05-03,https://i.scdn.co/image/ab67616d0000b273d254ca497999ae980a5a38c5,glam rock,27.99
Uptown Girl,Billy Joel,An Innocent Man,1983-08-08,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7,classic rock,27.99
Africa,TOTO,Toto IV,1982-04-08,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,classic rock,27.99
Crazy Little Thing Called Love - Remastered 2011,Queen,The Game (2011 Remaster),1980-06-27,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba,glam rock,27.99
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1985,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d,new wave pop,27.99
I'm Still Standing,Elton John,Too Low For Zero,1983-05-30,https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89,glam rock,27.99
Kung Fu Fighting,Carl Douglas,Kung Fu Fighter,1974-01-01,https://i.scdn.co/image/ab67616d0000b273131815c9e03c070a5a953a43,Unknown,29.99
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,1982-07-22,https://i.scdn.co/image/ab67616d0000b2738bd8adbdc4727d9080240905,new wave pop,27.99
Billie Jean,Michael Jackson,Thriller,1982-11-30,https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97,r&b,27.99
Beat It,Michael Jackson,Thriller,1982-11-30,https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97,r&b,27.99
What A Wonderful World,Louis Armstrong,What A Wonderful World,1968-01-01,https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed,jazz,29.99
Bad - 2012 Remaster,Michael Jackson,Bad (Remastered),1987-08-31,https://i.scdn.co/image/ab67616d0000b27362e97ae5072de10850578af5,r&b,27.99
Rasputin,Majestic,Rasputin,2021-02-26,https://i.scdn.co/image/ab67616d0000b273f05cf0af79d057704dc994f4,uk dance,24.99
Earth Song,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,https://i.scdn.co/image/ab67616d0000b273d0593178c6c2594693ee34b7,r&b,27.99
Don't Stop Believin' (2022 Remaster),Journey,Escape (2022 Remaster),1981-07-17,https://i.scdn.co/image/ab67616d0000b27363fa4751355b66f236943275,classic rock,27.99
Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,psychedelic rock,29.99
Somebody To Love - Remastered 2011,Queen,A Day At The Races (Deluxe Edition 2011 Remaster),1976-12-10,https://i.scdn.co/image/ab67616d0000b27367bc29c251c777361b17a190,glam rock,29.99
The Final Countdown,Europe,The Final Countdown (Expanded Edition),1986,https://i.scdn.co/image/ab67616d0000b273f5e30500f0eec7d92b159eae,glam metal,27.99
Walk Like an Egyptian,The Bangles,Different Light,1985-06-06,https://i.scdn.co/image/ab67616d0000b2737aa1185818db499b687b6ba7,new wave pop,27.99
Killer Queen - Remastered 2011,Queen,Sheer Heart Attack (Deluxe Edition 2011 Remaster),1974-11-08,https://i.scdn.co/image/ab67616d0000b27309e2ec500166cf2d5ac21050,glam rock,29.99
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,psychedelic rock,29.99
Thriller,Michael Jackson,Thriller,1982-11-30,https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97,"r&b, soul",27.99
Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),1984-11-05,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512,canadian pop,27.99
Total Eclipse of the Heart,Bonnie Tyler,The Very Best of Bonnie Tyler,2009-03-26,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96,new wave pop,24.99
Smooth Criminal - 2012 Remaster,Michael Jackson,Bad (Remastered),1987-08-31,https://i.scdn.co/image/ab67616d0000b27362e97ae5072de10850578af5,r&b,27.99
Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,psychedelic rock,29.99
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Secret Dreams and Forbidden Fire,1986-05-05,https://i.scdn.co/image/ab67616d0000b273d2675cb6847d1b1da9fc28a3,new wave pop,27.99
Sweet Caroline,Neil Diamond,Sweet Caroline,1969-06-06,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc,new wave pop,29.99
Paradise City,Guns N' Roses,Appetite For Destruction,1987-07-21,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,hard rock,27.99
Jailhouse Rock,Elvis Presley,Platinum - A Life In Music,1997-07-15,https://i.scdn.co/image/ab67616d0000b27352cbfb62c42adc19d5637843,rock,27.99
Born To Be Wild,Steppenwolf,Steppenwolf,1968,https://i.scdn.co/image/ab67616d0000b273ec7e2c5c7ecd29301f1c4b93,acid rock,29.99
A Little Less Conversation,Elvis Presley,The Essential Elvis Presley,2007,https://i.scdn.co/image/ab67616d0000b2738194c9102e2703a6620d3c95,rock,24.99
Hit the Road Jack,Ray Charles,Soul,2021-06-04,https://i.scdn.co/image/ab67616d0000b273afb055fcddab0300b316b54a,soul blues,24.99
Smooth Operator,Sade,Diamond Life,1984-07-16,https://i.scdn.co/image/ab67616d0000b273ad27e16c5f844ea1ad6797cd,sophisti-pop,27.99
Cheri Cheri Lady,Modern Talking,Let's Talk About Love,1985,https://i.scdn.co/image/ab67616d0000b273aedd9728f5cc4b13ee49e061,synthpop,27.99
Voulez-Vous,ABBA,Voulez-Vous,1979,https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec,swedish pop,29.99
Lay All Your Love On Me,ABBA,Super Trouper,1980,https://i.scdn.co/image/ab67616d0000b2734d08fc99eff4ed52dfce91fa,swedish pop,27.99
Take A Chance On Me,ABBA,The Album,1977,https://i.scdn.co/image/ab67616d0000b2736f705bef76c1d861c4d51d8c,swedish pop,29.99
They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,https://i.scdn.co/image/ab67616d0000b273d0593178c6c2594693ee34b7,r&b,27.99
Macarena,Los Del Rio,Fiesta Macarena,1996-04-29,https://i.scdn.co/image/ab67616d0000b273a8c284ce171e96a79eabf7de,tropical,27.99
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,1961-10-20,https://i.scdn.co/image/ab67616d0000b273f96cefb0197694ad440c3314,rock,29.99
Suspicious Minds,Elvis Presley,From Elvis in Memphis,1969-06-17,https://i.scdn.co/image/ab67616d0000b273fdc0aa7765f3197ac9179ec7,rock,29.99
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),1974-04-15,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,southern rock,29.99
Old Time Rock & Roll,Bob Seger,Stranger In Town,1978-05-05,https://i.scdn.co/image/ab67616d0000b273ef063cb80508c55eb443a671,country rock,29.99
Walk This Way,Aerosmith,Toys In The Attic,1975-04-08,https://i.scdn.co/image/ab67616d0000b2738cffbbb7fe8645a486a85ea9,hard rock,29.99
Piano Man,Billy Joel,Piano Man (Legacy Edition),1973-11-07,https://i.scdn.co/image/ab67616d0000b273aff4aef671b2510be7c115b3,classic rock,29.99
"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",1962,https://i.scdn.co/image/ab67616d0000b2731b3c09cb3ec9f618664f2622,folk rock,29.99
Walk Like an Egyptian,The Bangles,The Essential Bangles,2004,https://i.scdn.co/image/ab67616d0000b273fed4a89ebe66064c67f2f4ea,new wave pop,24.99
Gangsta's Paradise,Coolio,Gangsta's Paradise,1995-11-07,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,west coast rap,27.99
Sh-Boom (Life Could Be a Dream),The Sh-Booms,Life Could Be a Dream,2016-01-29,https://i.scdn.co/image/ab67616d0000b2731c58f5beb4c8740df65d8e6a,Unknown,24.99
Boogie Wonderland,"Earth, Wind & Fire",I Am,1979-06,https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988,funk,29.99
Boogie Shoes,KC & The Sunshine Band,The TK Years,2009-03-09,https://i.scdn.co/image/ab67616d0000b273071fbea64d9c48fd436efdd0,soul,24.99
Blue Suede Shoes,Elvis Presley,Elvis Presley,1956-03-23,https://i.scdn.co/image/ab67616d0000b273f45cec7e72b9dec993c18872,rock,29.99
I'm a Believer - 2006 Remaster,The Monkees,More of The Monkees (Deluxe Edition),1967-01-09,https://i.scdn.co/image/ab67616d0000b273360a1ae790aa71a0aac4983e,sunshine pop,29.99
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,classic rock,29.99
Voodoo Child (Slight Return),Jimi Hendrix,Electric Ladyland,1968-10-25,https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292,alternative rock,29.99
Johnny B. Goode,Chuck Berry,Berry Is On Top,1959-07-01,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,blues,29.99
Misirlou,Dick Dale,"Surfer´s Paradise, Vol.1",2013-09-13,https://i.scdn.co/image/ab67616d0000b273c8a27d799f80f9dd45ef71d1,instrumental surf,24.99
Time in a Bottle,Jim Croce,You Don't Mess Around With Jim,1972-04-01,https://i.scdn.co/image/ab67616d0000b2736c955079f53ae636e7bef0ee,folk rock,29.99
Goodbye Yellow Brick Road - Remastered 2014,Elton John,Goodbye Yellow Brick Road - Remastered,1973-10-05,https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b,glam rock,29.99
"Money, Money, Money",ABBA,Arrival,1976,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,swedish pop,29.99
"Honey, Honey",ABBA,Waterloo,1974,https://i.scdn.co/image/ab67616d0000b27311c24dc7f5ef909381c0a7d6,swedish pop,29.99
I'm Gonna Live Till I Die,Frank Sinatra,Frank Sinatra: The Complete Capitol Singles Collection,1996-01-01,https://i.scdn.co/image/ab67616d0000b27365cf01584388657bd8bc1035,pop,27.99
Rock Around The Clock,Bill Haley & His Comets,Biggest Hits,1968-01-01,https://i.scdn.co/image/ab67616d0000b273e5cbc5be4975955edb884bea,rock,29.99
Love Potion No. 9,Lyons Lane,For Josie,2024-06-28,https://i.scdn.co/image/ab67616d0000b2739dbbcdcd4714b107e5b31724,Unknown,24.99
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,classic rock,29.99
